,abbreviation,genus,subgenus,vcount,ecount,assortativity_degree,density,transitivity,transitivity_avglocal,degree,feedback_arc_set,hub_score,constraint,coreness,pagerank
Afrikaans,afr,Germanic,West,3666,23932,-0.2755773763628665,0.0035623989181215385,0.06949857611297408,0.6015039959296217,13.056192034915439,11960.508906103518,0.034570662043302725,0.3197100965299003,6.81505728314239,0.00027277686852154935
Bulgarian,bul,Slavic,South,7154,32323,-0.20896966846995943,0.0012632941848797798,0.0271093617649419,0.4334237563156602,9.036343304445065,16146.117361938816,0.016667717354056043,0.35915431910590506,4.677103718199609,0.0001397819401733296
Croatian,hrv,Slavic,South,8101,35729,-0.17653977004254529,0.0010889983099175381,0.02321910622220807,0.37638570213427647,8.820886310332058,17882.19812515835,0.01558715040163024,0.3541611174380698,4.562029379089001,0.00012344155042587335
Czech,ces,Slavic,West,8271,36751,-0.13347928009529214,0.0010745722624335228,0.024142383195702465,0.33585059621107305,8.886712610325233,18407.484182437416,0.01386203467340915,0.3558195954907297,4.590013299480111,0.00012090436464756376
Danish,dan,Germanic,North,4594,27546,-0.21340884378686112,0.0026109653149949657,0.05571923447983302,0.5108654932169968,11.992163691771877,13790.436369973424,0.02615936533668197,0.33116375110008917,6.227252938615585,0.00021767522855898998
Dutch,nld,Germanic,West,4829,34136,-0.27658998978614574,0.0029283174716136953,0.08566095911233447,0.5178419183754693,14.137916752950922,17071.28770301624,0.034491200864228924,0.3113907138661281,7.405052805963968,0.0002070822116380203
English,eng,Germanic,West,3482,25302,-0.25274013885252583,0.004174957482326723,0.06901129508549755,0.5906526015354577,14.533026995979322,12660.134182668073,0.035025615793808904,0.2965852811809319,7.573520964962665,0.0002871912693854107
French,fra,Italic,Romance,5927,30901,-0.2742560079638902,0.0017595675954168676,0.03656730188970959,0.4433567539367139,10.427197570440358,15431.06994994995,0.023695551322838678,0.34406437036241977,5.38214948540577,0.00016871941960519654
German,deu,Germanic,West,5010,31101,-0.19187796662466144,0.0024786521984977937,0.05698355130420704,0.5254476745013541,12.41556886227545,15516.61869538556,0.024916969580953508,0.3219160531568938,6.42814371257485,0.0001996007984031936
Icelandic,isl,Germanic,North,6505,31846,-0.19623023243185403,0.0015054178212804419,0.03737963144926003,0.4416838174414337,9.791237509607994,15955.649790861022,0.019521951249292603,0.3506897913963428,5.044427363566487,0.00015372790161414298
Italian,ita,Italic,Romance,6688,33788,-0.22849556497045717,0.0015110014932923483,0.035079086897591684,0.3783445366081213,10.104066985645932,16875.161359359434,0.02015406140080201,0.34814280767462286,5.215909090909091,0.00014952153110047846
Norwegian,nor,Germanic,North,4085,25959,-0.23354298066121856,0.003112004095152351,0.06282424064017632,0.5525480963924013,12.709424724602203,12978.263908571429,0.029721958918813473,0.3176442922278677,6.595348837209302,0.00024479804161566703
Polish,pol,Slavic,West,8080,35233,-0.17321643269563383,0.0010794701824434207,0.024848947719072735,0.35436199707769145,8.721039603960396,17602.186123591368,0.016162223885008212,0.3600149266677613,4.509282178217822,0.00012376237623762376
Portuguese,por,Italic,Romance,6573,32153,-0.21870526151592917,0.001488642141503832,0.030575764285510974,0.4400644942932387,9.783356153963183,16068.726163949807,0.01904970022669044,0.3561221860798726,5.0470104974897305,0.00015213753232922565
Romanian,ron,Italic,Romance,5450,31317,-0.21931579226454984,0.0021090983784584666,0.042310710499528906,0.38031863512523023,11.492477064220184,15669.464744085357,0.02227395437423966,0.3173020759264707,5.9513761467889905,0.00018348623853211015
Russian,rus,Slavic,East,8510,33252,-0.134777726149058,0.0009184165131576312,0.02052157315061616,0.34045506473113346,7.814806110458284,16646.334397607403,0.012413515596977369,0.37495232151727814,4.059459459459459,0.0001175088131609871
Serbian,srp,Slavic,South,6838,32031,-0.1555526843061344,0.0013702689497723341,0.024209648178324328,0.4192029944765094,9.368528809593448,16049.23334921013,0.015861140931061515,0.3544151608373316,4.841620356829482,0.00014624159110851123
Slovak,slk,Slavic,West,8087,34300,-0.12230904884574072,0.0010490662988797226,0.01996550574884558,0.3712452608168997,8.482750092741437,17122.562218661784,0.012596433608409903,0.36419102687597754,4.396191418325708,0.00012365524916532706
Slovene,slv,Slavic,South,7527,34300,-0.14475178440324746,0.0012109828304877179,0.025365829441836924,0.37482055894186006,9.113856782250565,17173.10640920296,0.014461102156813292,0.3554451617949316,4.717815862893583,0.0001328550551348479
Spanish,spa,Italic,Romance,5920,29896,-0.2698851749351176,0.0017063693191417468,0.03333928806518828,0.47232794837032493,10.1,14936.946448679984,0.022406699095805543,0.34947382285780487,5.212162162162162,0.0001689189189189189
Swedish,swe,Germanic,North,5011,30240,-0.22052010504060748,0.002409071300623658,0.05987580268499489,0.49874190777847854,12.069447216124527,15142.688585017835,0.025817464885214622,0.3278838108451708,6.26781081620435,0.00019956096587507487
Ukranian,ukr,Slavic,East,8558,35746,-0.21255535328174585,0.0009762558123421446,0.027870093918359946,0.34398959264694856,8.353820986211732,17846.28651292802,0.016534455157488255,0.36558473279039333,4.324842252862818,0.00011684973124561814